E_EC,N6,N5,N4,N3,N2,N1,Z0,P1,P2,P3,P4,P5,P6
N6,3.305543,2.900346,2.603319,2.071819,1.720157,1.756197,1.967769,1.93751,2.044094,2.101118,2.254813,2.101007,2.07928
N5,3.405757,3.071843,2.66797,2.071819,1.751465,1.884258,1.93751,2.097154,2.23957,2.334241,2.497139,2.279773,2.174031
N4,3.376391,3.01994,2.668181,2.071819,1.720157,1.83365,2.044094,2.23957,2.597132,2.676525,2.780782,2.532421,2.413749
N3,3.364584,3.077853,2.719325,2.071819,1.616422,1.652241,2.020596,2.279773,2.676525,2.964073,2.913768,2.648845,2.439684
N2,3.169624,2.873388,2.66098,2.071819,1.470624,1.72176,2.07928,2.401332,2.780782,2.913768,2.964394,2.804589,2.597132
N1,2.951416,2.654377,2.442019,2.000986,1.928542,1.928542,2.121295,2.446877,2.642726,2.790498,2.738032,2.658129,2.676525
Z0,2.780782,2.592266,2.479288,2.522744,2.479288,2.288422,2.07928,2.288422,2.479288,2.522744,2.479288,2.592266,2.780782
P1,2.676525,2.658129,2.738032,2.790498,2.642726,2.446877,2.121295,1.928542,1.928542,2.000986,2.442019,2.654377,2.951416
P2,2.597132,2.804589,2.964394,2.913768,2.780782,2.401332,2.07928,1.72176,1.470624,2.071819,2.66098,2.873388,3.169624
P3,2.439684,2.648845,2.913768,2.964073,2.676525,2.279773,2.020596,1.652241,1.616422,2.071819,2.719325,3.077853,3.364584
P4,2.413749,2.532421,2.780782,2.676525,2.597132,2.23957,2.044094,1.83365,1.720157,2.071819,2.668181,3.01994,3.376391
P5,2.174031,2.279773,2.497139,2.334241,2.23957,2.097154,1.93751,1.884258,1.751465,2.071819,2.66797,3.071843,3.405757
P6,2.07928,2.101007,2.254813,2.101118,2.044094,1.93751,1.967769,1.756197,1.720157,2.071819,2.603319,2.900346,3.305543
