E_EC,N6,N5,N4,N3,N2,N1,Z0,P1,P2,P3,P4,P5,P6
N6,4.572377,4.071458,3.586251,3.426962,3,2.543851,2.254813,1.878483,2.07928,2.242539,2.597132,2.833701,3
N5,4.391608,3.999014,3.493299,3.289459,2.889875,2.378737,2.101118,1.828901,2.121295,2.338832,2.676525,2.964073,3.128539
N4,4.280956,3.924184,3.33902,3.126612,2.830376,2.289893,2.044094,1.832842,2.07928,2.401332,2.780782,3.087198,3.200159
N3,4.23992,3.904803,3.329955,3,2.670045,2.095197,1.832842,1.928542,2.288422,2.497752,2.882406,3.296594,3.418881
N2,4.280956,3.84445,3.169624,2.873388,2.66098,2.075816,1.719044,2.03486,2.479288,2.634901,3,3.456149,3.745187
N1,4.167159,3.904803,3.174965,2.716424,2.507073,2.000986,1.608392,1.928542,2.394472,2.654377,3.110125,3.621263,3.898882
Z0,3.955906,3.710107,3.169624,2.707602,2.413749,1.928542,1.427623,1.928542,2.413749,2.707602,3.169624,3.710107,3.955906
P1,3.898882,3.621263,3.110125,2.654377,2.394472,1.928542,1.608392,2.000986,2.507073,2.716424,3.174965,3.845614,4.105154
P2,3.745187,3.456149,3,2.634901,2.479288,2.03486,1.719044,2.075816,2.66098,2.873388,3.169624,3.845614,4.279843
P3,3.418881,3.296594,2.882406,2.497752,2.288422,1.928542,1.832842,2.095197,2.670045,3,3.329955,3.904803,4.30885
P4,3.200159,3.087198,2.780782,2.401332,2.07928,1.832842,2.044094,2.289893,2.830376,3.126612,3.33902,3.924184,4.280956
P5,3.128539,2.964073,2.676525,2.338832,2.121295,1.828901,2.101118,2.378737,2.889875,3.289459,3.493299,3.999014,4.391608
P6,3,2.833701,2.597132,2.242539,2.07928,1.878483,2.254813,2.543851,3,3.426962,3.586251,4.071458,4.572377
